user_id	title	init_board	kifu	init_turn	start_move	black_user_name	white_user_name	begin_text	end_text	sort	tags	comments
1	XOT初期盤面 No.1		F5D6C4D3C2B3B4B5		8					1	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.2		F5F6D3C5D6C7B5E3		8					2	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.3		F5F4E3D2C3E6E1G5		8					3	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.4		F5F6E6D6F7G6H5G5		8					4	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.5		F5D6C3G5E6F3G4G6		8					5	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.6		F5D6C5F4E3C6F6G5		8					6	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.7		F5D6C3F4C5D3G3B6		8					7	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.8		F5F4G3F6F7G4D3H2		8					8	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.9		F5F6D3E3F3C5B6G5		8					9	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.10		F5F4E3D2C3E6F2C5		8					10	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.11		F5F4G3G6F3G4E3F6		8					11	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.12		F5D6C5F4E3C6F6F7		8					12	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.13		F5D6C3F4F3E3C6B6		8					13	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.14		F5F6F7G5F4E7D3G3		8					14	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.15		F5F6E6D6C6F4D3C3		8					15	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.16		F5D6C6F4F3G3H3B6		8					16	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.17		F5D6C4D3C2B3B4F3		8					17	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.18		F5F4E3F2C3F6G5E6		8					18	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.19		F5F4C3C6E3G5E6D3		8					19	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.20		F5F4G3G4F3E6F6D6		8					20	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.21		F5F4C3C6G3G4H3H4		8					21	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.22		F5D6C5F4E3C6F6B5		8					22	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.23		F5F6D3C5F7F3F4E3		8					23	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.24		F5F6F7D6E6G5F4F3		8					24	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.25		F5D6C5B4C4D3C2G5		8					25	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.26		F5F4E3F6C4C5B6B5		8					26	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.27		F5F4G3G6C4F3G5D3		8					27	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.28		F5D6C6F4F3G3H3F2		8					28	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.29		F5F4G3C6C5D6D3G5		8					29	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.30		F5F4G3E6D6C4C3C2		8					30	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.31		F5F4G3D6D3D2C3G6		8					31	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.32		F5F4C3D6G4E3F6H4		8					32	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.33		F5F4C3G6E3C5D6D3		8					33	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.34		F5F6F7E3D3C3D2G5		8					34	XOT初期盤面,ランダムオープニング	""
1	XOT初期盤面 No.35		F5F6F7F4F3G3H3D6		8					35	XOT初期盤面,ランダムオープニング	""
